league;season;id;code;slug;name;club_name;short_name;venue
73;2425;3czravw89omgc9o4s0w3l1bg5;ATH;ath;Athletic Club;Athletic Club;Athletic;Estadio de San Mamés
73;2425;2l0ldgiwsgb8d6y3z0sfgjzyj;OSA;osa;CA Osasuna;Osasuna;Osasuna;Estadio El Sadar
73;2425;3krm0f4yr1l80j1sd7823f9xn;LEG;leg;CD Leganés;Leganés;Leganés;Estadio Ontime Butarque
73;2425;4ku8o6uf87yd8iecdalipo6wd;ATM;atm;Club Atlético de Madrid;Atlético de Madrid;Atlético;Riyadh Air Metropolitano
73;2425;4dtdjgnpdq9uw4sdutti0vaar;ALA;ala;Deportivo Alavés;Alavés;Alavés;Estadio de Mendizorroza
73;2425;agh9ifb2mw3ivjusgedj7c3fe;BAR;bar;FC Barcelona;Barcelona;Barcelona;Spotify Camp Nou
73;2425;1n1j0wsl763lq7ee1k0c11c02;GET;get;Getafe CF;Getafe;Getafe;Estadio Coliseum
73;2425;7h7eg7q7dbwvzww78h9d5eh0h;GIR;gir;Girona FC;Girona;Girona;Estadi Municipal de Montilivi
73;2425;3budh3j9xivsid3ptm8ptpy4k;RAY;ray;Rayo Vallecano de Madrid;Rayo Vallecano;Rayo;Estadio de Vallecas
73;2425;ah8dala7suqqkj04n2l8xz4zd;BET;bet;Real Betis Balompié;Real Betis;Betis;Estadio La Cartuja de Sevilla
73;2425;6f27yvbqcngegwsg2ozxxdj4;CEL;cel;Real Club Celta de Vigo;Celta de Vigo;Celta;Estadio Abanca-Balaídos
73;2425;50x1m4u58lffhq6v6ga1hbxmy;MLL;mll;Real Club Deportivo Mallorca;Mallorca;Mallorca;Estadi Mallorca Son Moix
73;2425;3kq9cckrnlogidldtdie2fkbl;RMA;rma;Real Madrid CF;Real Madrid;Real Madrid;Estadio Bernabéu
73;2425;63f5h8t5e9qm1fqmvfkb23ghh;RSO;rso;Real Sociedad de Fútbol;Real Sociedad;Real Sociedad;Estadio Municipal de Anoeta
73;2425;4jelr92fsge73q39is6qvhxb3;VLL;vll;Real Valladolid CF;Real Valladolid;Valladolid;Estadio Municipal José Zorrilla
73;2425;c8llrezkm3b3op4afrou6b487;ESP;esp;Reial Club Deportiu Espanyol de Barcelona;Espanyol;Espanyol;RCDE Stadium
73;2425;10eyb18v5puw4ez03ocaug09m;SEV;sev;Sevilla FC;Sevilla;Sevilla;Estadio Ramón Sánchez Pizjuán
73;2425;1ae3awgwm3i1jds5tfct5441j;LPM;lpm;UD Las Palmas;Las Palmas;Las Palmas;Estadio de Gran Canaria
73;2425;ba5e91hjacvma2sjvixn00pjo;VAL;val;Valencia CF;Valencia;Valencia;Estadio de Mestalla
73;2425;74mcjsm72vr3l9pw2i4qfjchj;VIL;vil;Villarreal CF;Villarreal;Villarreal;Estadio de la Cerámica
